#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
5000,-667766.1854762547,300.043288772441,621.30878493684,0.9472667164003162
10000,-819888.3261033453,25.099123226777127,621.30878493684,0.9472667164003162
15000,-804533.6464292402,54.92135987139139,621.30878493684,0.9472667164003162
20000,-788566.2723936175,85.70905356107454,621.30878493684,0.9472667164003162
25000,-772941.3156359671,114.43816223911219,621.30878493684,0.9472667164003162
30000,-756851.0467031323,144.61245269045838,621.30878493684,0.9472667164003162
35000,-740548.6063242622,175.51207216511162,621.30878493684,0.9472667164003162
40000,-724396.7513904129,204.50835316038714,621.30878493684,0.9472667164003162
45000,-707871.3842024344,235.5386137054259,621.30878493684,0.9472667164003162
50000,-690724.6482197768,264.876768330813,621.30878493684,0.9472667164003162
55000,-655982.673134408,294.33535932300356,621.30878493684,0.9472667164003162
60000,-591991.6109033984,351.7962989821007,621.30878493684,0.9472667164003162
65000,-640260.1966047061,301.0860114151529,621.30878493684,0.9472667164003162
70000,-640855.3328925278,300.16681575390953,621.30878493684,0.9472667164003162
75000,-641025.2673785817,300.89755921132854,621.30878493684,0.9472667164003162
80000,-640961.2115102923,301.9731398202195,621.30878493684,0.9472667164003162
85000,-640874.8351959633,299.3456110722472,621.30878493684,0.9472667164003162
90000,-642892.0913287154,298.17568365557963,621.30878493684,0.9472667164003162
95000,-641091.2133443654,300.5303955779064,621.30878493684,0.9472667164003162
100000,-641224.7602052442,299.7650969400094,621.30878493684,0.9472667164003162
105000,-642378.2697762982,300.8352689854563,621.30878493684,0.9472667164003162
110000,-643456.9731391347,300.6139274884907,621.30878493684,0.9472667164003162
115000,-644311.1848545643,298.22014500030974,621.30878493684,0.9472667164003162
120000,-644226.5119294373,298.1623752559674,621.30878493684,0.9472667164003162
125000,-644156.7117243707,299.17762866302706,621.30878493684,0.9472667164003162
130000,-643895.9795651725,298.7135280034416,621.30878493684,0.9472667164003162
135000,-644281.8103213548,298.33217944163266,621.30878493684,0.9472667164003162
140000,-645517.630819987,298.2897523334259,621.30878493684,0.9472667164003162
145000,-645972.3282705282,298.4778054125889,621.30878493684,0.9472667164003162
150000,-645214.4723913744,298.653777507867,621.30878493684,0.9472667164003162
155000,-645215.3436219322,298.94192318770445,621.30878493684,0.9472667164003162
160000,-645191.8201590194,300.7305113275412,621.30878493684,0.9472667164003162
165000,-645478.2839694009,300.3348245121532,621.30878493684,0.9472667164003162
170000,-645504.2465924891,298.7752701315348,621.30878493684,0.9472667164003162
175000,-646994.2190128551,299.499534117379,621.30878493684,0.9472667164003162
180000,-645526.6756201009,301.41935240929723,621.30878493684,0.9472667164003162
185000,-646858.8402747731,299.1350838892623,621.30878493684,0.9472667164003162
190000,-647077.2033419593,298.7926710424705,621.30878493684,0.9472667164003162
195000,-647378.6292004352,299.2148191290416,621.30878493684,0.9472667164003162
200000,-647198.4129273435,299.39095062710345,621.30878493684,0.9472667164003162
205000,-647737.8551311842,296.6664428546233,621.30878493684,0.9472667164003162
210000,-647694.81516949,298.74586218130503,621.30878493684,0.9472667164003162
215000,-647986.9651488834,298.37001495683154,621.30878493684,0.9472667164003162
220000,-648376.8334617557,300.15840605635515,621.30878493684,0.9472667164003162
225000,-648966.6581353012,300.07968064970873,621.30878493684,0.9472667164003162
230000,-649155.3615200953,299.170570313386,621.30878493684,0.9472667164003162
235000,-648131.774029738,299.8397101046364,621.30878493684,0.9472667164003162
240000,-648875.4011183376,300.87084099096563,621.30878493684,0.9472667164003162
245000,-650017.3113248281,300.75345495319857,621.30878493684,0.9472667164003162
250000,-649445.0386370497,299.5908451640925,621.30878493684,0.9472667164003162
255000,-649493.5663300047,299.12649136953075,621.30878493684,0.9472667164003162
260000,-651163.8436969062,298.1339474747759,621.30878493684,0.9472667164003162
265000,-650155.899078541,298.95153706994057,621.30878493684,0.9472667164003162
270000,-650541.5615613158,299.04083618339007,621.30878493684,0.9472667164003162
275000,-650785.3773283144,300.70273200870884,621.30878493684,0.9472667164003162
280000,-651584.6275190092,298.9660851115422,621.30878493684,0.9472667164003162
285000,-652783.0752721033,299.5999572837428,621.30878493684,0.9472667164003162
290000,-650974.3955274171,300.38527005766895,621.30878493684,0.9472667164003162
295000,-652378.0466217385,298.59557220675396,621.30878493684,0.9472667164003162
300000,-653483.3540251809,300.7197914747463,621.30878493684,0.9472667164003162
305000,-653178.0860518441,301.16859388363565,621.30878493684,0.9472667164003162
310000,-653361.4752626326,299.83969872313264,621.30878493684,0.9472667164003162
315000,-653678.7405036499,298.4018743695005,621.30878493684,0.9472667164003162
320000,-653849.6069390294,297.6455828491337,621.30878493684,0.9472667164003162
325000,-655446.0793848825,300.14767564828566,621.30878493684,0.9472667164003162
330000,-655378.3995873278,300.7671600882407,621.30878493684,0.9472667164003162
335000,-655297.6894614852,298.52684211337794,621.30878493684,0.9472667164003162
340000,-655424.4850718295,300.6512206201388,621.30878493684,0.9472667164003162
345000,-656663.0885740083,297.0188073618308,621.30878493684,0.9472667164003162
350000,-656072.2629767358,301.0631878728583,621.30878493684,0.9472667164003162
355000,-656319.3035735667,297.82164127783886,621.30878493684,0.9472667164003162
360000,-656486.4277048041,299.4730330434736,621.30878493684,0.9472667164003162
365000,-657422.4815147051,298.6460948824986,621.30878493684,0.9472667164003162
370000,-658785.2902676312,298.58053102972025,621.30878493684,0.9472667164003162
375000,-658862.8187713185,299.5909725892702,621.30878493684,0.9472667164003162
380000,-659170.0251379539,298.79136264829236,621.30878493684,0.9472667164003162
385000,-659879.6885802613,298.72927623383714,621.30878493684,0.9472667164003162
390000,-660608.1863878791,300.14459163026726,621.30878493684,0.9472667164003162
395000,-660385.1870721022,298.57534087815924,621.30878493684,0.9472667164003162
400000,-661056.2711525115,299.7287744578368,621.30878493684,0.9472667164003162
405000,-661719.870095795,299.9537009365656,621.30878493684,0.9472667164003162
410000,-663532.7411821412,298.3952809264786,621.30878493684,0.9472667164003162
415000,-661966.9062079142,298.06238063054184,621.30878493684,0.9472667164003162
420000,-663316.3486670877,298.82100189041523,621.30878493684,0.9472667164003162
425000,-662911.0079905784,297.36587110644456,621.30878493684,0.9472667164003162
430000,-664037.3450089251,299.80681519505566,621.30878493684,0.9472667164003162
435000,-663581.3023667734,299.465768545823,621.30878493684,0.9472667164003162
440000,-665074.2011502427,299.58397160409345,621.30878493684,0.9472667164003162
445000,-666935.8594914405,300.6363839109709,621.30878493684,0.9472667164003162
450000,-666460.5857067485,299.4492892738244,621.30878493684,0.9472667164003162
455000,-667345.2995749174,300.0790288417219,621.30878493684,0.9472667164003162
460000,-666728.5247695576,298.73221813268077,621.30878493684,0.9472667164003162
465000,-668346.3454746325,297.54912175497253,621.30878493684,0.9472667164003162
470000,-669202.6421863202,298.52250658362834,621.30878493684,0.9472667164003162
475000,-669230.2891957972,298.1672282337898,621.30878493684,0.9472667164003162
480000,-669402.7310202599,297.0588882381217,621.30878493684,0.9472667164003162
485000,-672769.0634958274,297.024731758984,621.30878493684,0.9472667164003162
490000,-671984.6280490896,298.2349887603907,621.30878493684,0.9472667164003162
495000,-672627.2454279927,296.21890117391365,621.30878493684,0.9472667164003162
500000,-674134.5997010702,297.33120747178043,621.30878493684,0.9472667164003162
505000,-674785.1075198795,293.973979059671,621.30878493684,0.9472667164003162
510000,-676371.9001357986,296.82084112249896,621.30878493684,0.9472667164003162
515000,-676634.5472132924,295.6333854758472,621.30878493684,0.9472667164003162
520000,-679607.888687124,294.12520185185633,621.30878493684,0.9472667164003162
525000,-679994.8253006707,293.56759070761535,621.30878493684,0.9472667164003162
530000,-681508.322122433,292.4675796764485,621.30878493684,0.9472667164003162
535000,-684006.5579700354,293.1653014035092,621.30878493684,0.9472667164003162
540000,-685574.8411995631,292.7723663484154,621.30878493684,0.9472667164003162
545000,-688642.7751523482,290.6885405031319,621.30878493684,0.9472667164003162
550000,-694920.3888886548,291.2468176802869,621.30878493684,0.9472667164003162
